from_id,pro1,to_id
yuanshi_1,中文名,property_1
yuanshi_1,外文名,property_2
yuanshi_1,性别,property_3
yuanshi_1,出生日期,property_4
yuanshi_1,出生地,property_5
yuanshi_1,国籍,property_6
yuanshi_1,民族,property_7
yuanshi_1,职业,property_8
yuanshi_1,职业,property_9
yuanshi_1,职业,property_10
yuanshi_1,职业,property_11
yuanshi_1,毕业院校,property_12
yuanshi_1,毕业院校,property_13
yuanshi_1,政治面貌,property_14
yuanshi_1,代表作品,property_15
yuanshi_1,代表作品,property_16
yuanshi_1,代表作品,property_17
yuanshi_1,主要成就,property_18
yuanshi_1,主要成就,property_19
yuanshi_1,曾任职,property_20
yuanshi_1,信仰,property_21
yuanshi_1,原籍,property_22
yuanshi_1,本科,property_23
yuanshi_1,硕士研究生,property_24
yuanshi_1,博士研究生,property_25
yuanshi_1,博士后,property_26
yuanshi_1,任职,property_27
yuanshi_1,任职,property_28
yuanshi_1,任职,property_29
yuanshi_1,任职,property_30
yuanshi_1,任职,property_31
yuanshi_1,任职,property_32
yuanshi_1,任职,property_33
yuanshi_1,任职,property_34
yuanshi_1,任职,property_35
yuanshi_1,任职,property_36
yuanshi_1,任职,property_37
yuanshi_1,任职,property_38
yuanshi_1,任职,property_39
yuanshi_1,任职,property_40
yuanshi_1,任职,property_41
yuanshi_1,任职,property_42
yuanshi_1,任职,property_43
yuanshi_1,任职,property_44
yuanshi_1,任职,property_45
yuanshi_1,任职,property_46
yuanshi_1,任职,property_47
yuanshi_1,任职,property_48
yuanshi_1,任职,property_49
yuanshi_1,任职,property_50
yuanshi_1,任职,property_51
yuanshi_1,任职,property_52
yuanshi_1,任职,property_53
yuanshi_1,任职,property_54
yuanshi_1,任职,property_55
yuanshi_1,任职,property_56
yuanshi_1,任免_辞职,property_57
yuanshi_1,学术兼职,property_58
yuanshi_1,学术兼职,property_59
yuanshi_1,学术兼职,property_60
yuanshi_1,学术兼职,property_61
yuanshi_1,学术兼职,property_62
yuanshi_1,学术兼职,property_63
yuanshi_1,学术兼职,property_64
yuanshi_1,学术兼职,property_65
yuanshi_1,学术兼职,property_66
yuanshi_1,学术兼职,property_67
yuanshi_1,学术兼职,property_68
yuanshi_1,学术兼职,property_69
yuanshi_1,学术兼职,property_70
yuanshi_1,学术兼职,property_71
yuanshi_1,学术兼职,property_72
yuanshi_1,学术兼职,property_73
yuanshi_1,学术兼职,property_74
yuanshi_1,学术兼职,property_75
yuanshi_1,学术兼职,property_76
yuanshi_1,学术兼职,property_77
yuanshi_1,学术兼职,property_78
yuanshi_1,学术兼职,property_79
yuanshi_1,学术兼职,property_80
yuanshi_1,学术兼职,property_81
yuanshi_1,学术兼职,property_82
yuanshi_1,学术兼职,property_83
yuanshi_1,技术工作兼职,property_84
yuanshi_1,技术工作兼职,property_85
yuanshi_1,技术工作兼职,property_86
yuanshi_1,技术工作兼职,property_87
yuanshi_1,技术工作兼职,property_88
yuanshi_1,技术工作兼职,property_89
yuanshi_1,技术工作兼职,property_90
yuanshi_1,技术工作兼职,property_91
yuanshi_1,技术工作兼职,property_92
yuanshi_1,技术工作兼职,property_93
yuanshi_1,技术工作兼职,property_94
yuanshi_1,技术工作兼职,property_95
yuanshi_1,技术工作兼职,property_96
yuanshi_1,技术工作兼职,property_97
yuanshi_1,技术工作兼职,property_98
yuanshi_1,技术工作兼职,property_99
yuanshi_1,技术工作兼职,property_100
yuanshi_1,技术工作兼职,property_101
yuanshi_1,技术工作兼职,property_102
yuanshi_1,技术工作兼职,property_103
yuanshi_1,技术工作兼职,property_104
yuanshi_1,技术工作兼职,property_105
yuanshi_1,技术工作兼职,property_106
yuanshi_1,技术工作兼职,property_107
yuanshi_1,技术工作兼职,property_108
yuanshi_1,技术工作兼职,property_109
yuanshi_1,技术工作兼职,property_110
yuanshi_1,技术工作兼职,property_111
yuanshi_1,技术工作兼职,property_112
yuanshi_1,技术工作兼职,property_113
yuanshi_1,技术工作兼职,property_114
yuanshi_1,技术工作兼职,property_115
yuanshi_1,技术工作兼职,property_116
yuanshi_1,技术工作兼职,property_117
yuanshi_1,技术工作兼职,property_118
yuanshi_1,技术工作兼职,property_119
yuanshi_1,技术工作兼职,property_120
yuanshi_1,技术工作兼职,property_121
yuanshi_1,技术工作兼职,property_122
yuanshi_1,技术工作兼职,property_123
yuanshi_1,技术工作兼职,property_124
yuanshi_1,社会兼职,property_125
yuanshi_1,社会兼职,property_126
yuanshi_1,社会兼职,property_127
yuanshi_1,社会兼职,property_128
yuanshi_1,社会兼职,property_129
yuanshi_1,社会兼职,property_130
yuanshi_1,社会兼职,property_131
yuanshi_1,方向,property_132
yuanshi_1,方向,property_133
yuanshi_1,研究领域,property_134
yuanshi_1,授予奖项名称,property_135
yuanshi_1,授予奖项名称,property_136
yuanshi_1,授予奖项名称,property_137
yuanshi_1,授予奖项名称,property_138
yuanshi_1,授予奖项名称,property_139
yuanshi_1,授予奖项名称,property_140
yuanshi_1,授予奖项名称,property_141
yuanshi_1,授予奖项名称,property_142
yuanshi_1,授予奖项名称,property_143
yuanshi_1,授予奖项名称,property_144
yuanshi_1,授予奖项名称,property_145
yuanshi_1,授予奖项名称,property_146
yuanshi_1,授予奖项名称,property_147
yuanshi_1,授予奖项名称,property_148
yuanshi_1,论著名称,property_149
yuanshi_1,论著名称,property_150
yuanshi_1,论著名称,property_151
yuanshi_1,论著名称,property_152
yuanshi_1,论著名称,property_153
yuanshi_1,论著名称,property_154
yuanshi_1,论著名称,property_155
yuanshi_1,项目名称,property_156
yuanshi_1,项目名称,property_157
yuanshi_1,项目名称,property_158
yuanshi_1,项目名称,property_159
yuanshi_1,项目名称,property_160
yuanshi_1,项目名称,property_161
yuanshi_1,项目名称,property_162
yuanshi_1,项目名称,property_163
yuanshi_1,项目名称,property_164
yuanshi_1,项目名称,property_165
yuanshi_1,项目名称,property_166
yuanshi_1,项目名称,property_167
yuanshi_1,项目名称,property_168
yuanshi_1,研究成果名称,property_169
yuanshi_1,研究成果名称,property_170
yuanshi_1,研究成果名称,property_171
yuanshi_1,研究成果名称,property_172
yuanshi_1,研究成果名称,property_173
yuanshi_1,研究成果名称,property_174
yuanshi_1,研究成果名称,property_175
yuanshi_1,研究成果名称,property_176
yuanshi_1,研究成果名称,property_177
yuanshi_1,研究成果名称,property_178
yuanshi_1,研究成果名称,property_179
yuanshi_1,研究成果名称,property_180
yuanshi_1,研究成果名称,property_181
yuanshi_1,教育理念,property_182
yuanshi_1,指导学生,property_183
yuanshi_1,学术报告,property_184
yuanshi_2,中文名,property_185
yuanshi_2,性别,property_3
yuanshi_2,出生日期,property_186
yuanshi_2,国籍,property_6
yuanshi_2,民族,property_7
yuanshi_2,毕业院校,property_187
yuanshi_2,毕业院校,property_188
yuanshi_2,政治面貌,property_14
yuanshi_2,原籍,property_189
yuanshi_2,本科,property_190
yuanshi_2,硕士研究生,property_187
yuanshi_2,任职,property_191
yuanshi_2,任职,property_192
yuanshi_2,任职,property_193
yuanshi_2,任职,property_194
yuanshi_2,任职,property_195
yuanshi_2,任职,property_196
yuanshi_2,任职,property_197
yuanshi_2,任职,property_198
yuanshi_2,任职,property_199
yuanshi_2,任职,property_200
yuanshi_2,任职,property_201
yuanshi_2,任职,property_202
yuanshi_2,任职,property_203
yuanshi_2,任职,property_204
yuanshi_2,任职,property_205
yuanshi_2,任职,property_206
yuanshi_2,任职,property_38
yuanshi_2,任职,property_198
yuanshi_2,任职,property_207
yuanshi_2,任职,property_197
yuanshi_2,任职,property_208
yuanshi_2,任职,property_209
yuanshi_2,社会兼职,property_210
yuanshi_2,社会兼职,property_211
yuanshi_2,社会兼职,property_212
yuanshi_2,社会兼职,property_213
yuanshi_2,社会兼职,property_214
yuanshi_2,社会兼职,property_215
yuanshi_2,社会兼职,property_216
yuanshi_2,授予奖项名称,property_217
yuanshi_2,授予奖项名称,property_218
yuanshi_2,研究成果名称,property_219
yuanshi_3,中文名,property_220
yuanshi_3,性别,property_3
yuanshi_3,出生日期,property_221
yuanshi_3,出生地,property_222
yuanshi_3,国籍,property_6
yuanshi_3,民族,property_7
yuanshi_3,毕业院校,property_223
yuanshi_3,政治面貌,property_224
yuanshi_3,代表作品,property_225
yuanshi_3,主要成就,property_226
yuanshi_3,本科,property_223
yuanshi_3,任职,property_227
yuanshi_3,任职,property_228
yuanshi_3,任职,property_229
yuanshi_3,任职,property_230
yuanshi_3,任职,property_231
yuanshi_3,任职,property_232
yuanshi_3,社会兼职,property_233
yuanshi_3,社会兼职,property_234
yuanshi_3,社会兼职,property_235
yuanshi_3,社会兼职,property_236
yuanshi_3,社会兼职,property_237
yuanshi_3,社会兼职,property_238
yuanshi_3,社会兼职,property_239
yuanshi_3,社会兼职,property_38
yuanshi_3,社会兼职,property_240
yuanshi_3,社会兼职,property_241
yuanshi_3,社会兼职,property_232
yuanshi_3,社会兼职,property_242
yuanshi_3,社会兼职,property_243
yuanshi_3,社会兼职,property_244
yuanshi_3,社会兼职,property_245
yuanshi_3,研究领域,property_246
yuanshi_3,授予奖项名称,property_247
yuanshi_3,授予奖项名称,property_248
yuanshi_3,授予奖项名称,property_249
yuanshi_3,研究成果名称,property_250
yuanshi_3,指导学生,property_251
yuanshi_4,中文名,property_252
yuanshi_4,性别,property_3
yuanshi_4,出生日期,property_253
yuanshi_4,出生地,property_254
yuanshi_4,国籍,property_6
yuanshi_4,民族,property_7
yuanshi_4,职业,property_38
yuanshi_4,毕业院校,property_255
yuanshi_4,政治面貌,property_224
yuanshi_4,本科,property_255
yuanshi_4,硕士研究生,property_256
yuanshi_4,任职,property_141
yuanshi_4,任职,property_257
yuanshi_4,任职,property_258
yuanshi_4,社会兼职,property_259
yuanshi_4,社会兼职,property_260
yuanshi_4,社会兼职,property_261
yuanshi_4,社会兼职,property_262
yuanshi_4,社会兼职,property_263
yuanshi_4,社会兼职,property_264
yuanshi_4,社会兼职,property_265
yuanshi_4,授予奖项名称,property_266
yuanshi_4,授予奖项名称,property_267
yuanshi_4,授予奖项名称,property_268
yuanshi_4,授予奖项名称,property_269
yuanshi_4,授予奖项名称,property_270
yuanshi_4,论著名称,property_271
yuanshi_4,论著名称,property_272
yuanshi_4,研究成果名称,property_273
yuanshi_5,中文名,property_274
yuanshi_5,外文名,property_275
yuanshi_5,出生日期,property_276
yuanshi_5,出生地,property_277
yuanshi_5,国籍,property_6
yuanshi_5,民族,property_7
yuanshi_5,职业,property_278
yuanshi_5,职业,property_279
yuanshi_5,职业,property_280
yuanshi_5,毕业院校,property_281
yuanshi_5,毕业院校,property_255
yuanshi_5,政治面貌,property_282
yuanshi_5,原籍,property_283
yuanshi_5,本科,property_284
yuanshi_5,硕士研究生,property_285
yuanshi_5,博士研究生,property_285
yuanshi_5,任职,property_286
yuanshi_5,任职,property_287
yuanshi_5,任职,property_288
yuanshi_5,任职,property_289
yuanshi_5,任职,property_290
yuanshi_5,任职,property_291
yuanshi_5,任职,property_292
yuanshi_5,任职,property_293
yuanshi_5,任职,property_294
yuanshi_5,任职,property_295
yuanshi_5,任职,property_296
yuanshi_5,任职,property_297
yuanshi_5,任职,property_298
yuanshi_5,任职,property_299
yuanshi_5,任职,property_300
yuanshi_5,任职,property_301
yuanshi_5,任职,property_294
yuanshi_5,社会兼职,property_302
yuanshi_5,社会兼职,property_38
yuanshi_5,社会兼职,property_303
yuanshi_5,社会兼职,property_304
yuanshi_5,社会兼职,property_210
yuanshi_5,社会兼职,property_305
yuanshi_5,社会兼职,property_306
yuanshi_5,社会兼职,property_307
yuanshi_5,社会兼职,property_308
yuanshi_5,社会兼职,property_309
yuanshi_5,社会兼职,property_310
yuanshi_5,社会兼职,property_311
yuanshi_5,社会兼职,property_312
yuanshi_5,社会兼职,property_313
yuanshi_5,研究领域,property_314
yuanshi_5,授予奖项名称,property_315
yuanshi_5,授予奖项名称,property_315
yuanshi_5,授予奖项名称,property_316
yuanshi_5,授予奖项名称,property_317
yuanshi_5,授予奖项名称,property_318
yuanshi_5,授予奖项名称,property_319
yuanshi_5,授予奖项名称,property_320
yuanshi_5,授予奖项名称,property_321
yuanshi_5,授予奖项名称,property_322
yuanshi_5,授予奖项名称,property_321
yuanshi_5,授予奖项名称,property_323
yuanshi_5,授予奖项名称,property_324
yuanshi_5,授予奖项名称,property_325
yuanshi_5,授予奖项名称,property_326
yuanshi_5,授予奖项名称,property_140
yuanshi_5,授予奖项名称,property_327
yuanshi_5,论著名称,property_328
yuanshi_5,研究成果名称,property_250
yuanshi_5,教育理念,property_251
yuanshi_6,中文名,property_329
yuanshi_6,性别,property_3
yuanshi_6,出生日期,property_330
yuanshi_6,出生地,property_331
yuanshi_6,国籍,property_6
yuanshi_6,民族,property_7
yuanshi_6,职业,property_332
yuanshi_6,毕业院校,property_333
yuanshi_6,毕业院校,property_334
yuanshi_6,政治面貌,property_14
yuanshi_6,主要成就,property_38
yuanshi_6,主要成就,property_335
yuanshi_6,本科,property_336
yuanshi_6,硕士研究生,property_336
yuanshi_6,博士研究生,property_337
yuanshi_6,任职,property_338
yuanshi_6,任职,property_339
yuanshi_6,任职,property_340
yuanshi_6,任职,property_341
yuanshi_6,任职,property_342
yuanshi_6,任职,property_343
yuanshi_6,任职,property_343
yuanshi_6,任职,property_344
yuanshi_6,任职,property_345
yuanshi_6,任职,property_346
yuanshi_6,任职,property_347
yuanshi_6,任职,property_348
yuanshi_6,任职,property_349
yuanshi_6,任职,property_350
yuanshi_6,任职,property_332
yuanshi_6,任职,property_141
yuanshi_6,任职,property_351
yuanshi_6,任职,property_352
yuanshi_6,任免_辞职,property_353
yuanshi_6,任免_辞职,property_354
yuanshi_6,任免_辞职,property_355
yuanshi_6,任免_辞职,property_356
yuanshi_6,任免_辞职,property_357
yuanshi_6,任免_辞职,property_358
yuanshi_6,授予奖项名称,property_335
yuanshi_6,授予奖项名称,property_359
yuanshi_6,授予奖项名称,property_360
yuanshi_7,中文名,property_361
yuanshi_7,出生日期,property_362
yuanshi_7,出生地,property_363
yuanshi_7,国籍,property_6
yuanshi_7,民族,property_7
yuanshi_7,职业,property_364
yuanshi_7,毕业院校,property_365
yuanshi_7,毕业院校,property_366
yuanshi_7,毕业院校,property_367
yuanshi_7,主要成就,property_368
yuanshi_7,院校,property_369
yuanshi_7,任职,property_370
yuanshi_7,任职,property_371
yuanshi_7,任职,property_372
